PERSON_ID,DESCRIPTION,SEASON
1449,All-Defensive Team2,1981
1449,All-Defensive Team2,1982
1449,All-Defensive Team2,1983
1449,All-NBA1,1979
1449,All-NBA1,1980
1449,All-NBA1,1981
1449,All-NBA1,1982
1449,All-NBA1,1983
1449,All-NBA1,1984
1449,All-NBA1,1985
1449,All-NBA1,1986
1449,All-NBA1,1987
1449,All-NBA2,1989
1449,All-Rookie Team1,1979
1449,Hall of Fame Inductee,1998
1449,NBA All-Star Most Valuable Player,1981
1449,NBA Finals Most Valuable Player,1983
1449,NBA Finals Most Valuable Player,1985
1449,NBA Most Valuable Player,1983
1449,NBA Most Valuable Player,1984
1449,NBA Most Valuable Player,1985
1449,NBA Rookie of the Year,1979
1449,NBA Sporting News Most Valuable Player of the Year,1984
1449,NBA Sporting News Most Valuable Player of the Year,1985
1449,NBA Sporting News Rookie of the Year,1979
1449,Olympic Gold Medal,1992
1449,NBA All-Star,1979
1449,NBA All-Star,1980
1449,NBA All-Star,1981
1449,NBA All-Star,1982
1449,NBA All-Star,1983
1449,NBA All-Star,1984
1449,NBA All-Star,1985
1449,NBA All-Star,1986
1449,NBA All-Star,1987
1449,NBA All-Star,1989
1449,NBA All-Star,1990
1449,NBA All-Star,1991
1449,NBA Champion,1980
1449,NBA Champion,1983
1449,NBA Champion,1985
76362,All-Rookie Team1,1979
76362,NBA All-Star,1979
76362,NBA Champion,1990
76362,NBA Champion,1991
76362,NBA Champion,1992
76608,NBA Champion,1980
77040,NBA Champion,1979
77071,Olympic Gold Medal,1976
77142,All-NBA2,1981
77142,All-NBA1,1982
77142,All-NBA1,1983
77142,All-NBA1,1984
77142,All-NBA1,1985
77142,All-NBA1,1986
77142,All-NBA1,1987
77142,All-NBA1,1988
77142,All-NBA1,1989
77142,All-NBA1,1990
77142,All-Rookie Team1,1979
77142,Hall of Fame Inductee,2002
77142,IBM Award,1983
77142,J. Walter Kennedy Citizenship,1991
77142,NBA All-Star Most Valuable Player,1989
77142,NBA All-Star Most Valuable Player,1991
77142,NBA Finals Most Valuable Player,1979
77142,NBA Finals Most Valuable Player,1981
77142,NBA Finals Most Valuable Player,1986
77142,NBA Most Valuable Player,1986
77142,NBA Most Valuable Player,1988
77142,NBA Most Valuable Player,1989
77142,NBA Sporting News Most Valuable Player of the Year,1986
77142,Olympic Gold Medal,1992
77142,NBA All-Star,1979
77142,NBA All-Star,1981
77142,NBA All-Star,1982
77142,NBA All-Star,1983
77142,NBA All-Star,1984
77142,NBA All-Star,1985
77142,NBA All-Star,1986
77142,NBA All-Star,1987
77142,NBA All-Star,1989
77142,NBA All-Star,1990
77142,NBA All-Star,1991
77142,NBA All-Star,1988
77142,NBA Champion,1979
77142,NBA Champion,1981
77142,NBA Champion,1984
77142,NBA Champion,1986
77142,NBA Champion,1987
77167,NBA Champion,1988
77167,NBA Champion,1989
77626,All-Defensive Team2,1981
77626,All-Defensive Team1,1982
77626,All-Defensive Team1,1983
77626,All-Defensive Team1,1984
77626,All-Defensive Team1,1985
77626,All-NBA2,1981
77626,All-NBA1,1982
77626,All-NBA2,1983
77626,All-NBA2,1984
77626,All-NBA2,1985
77626,NBA Defensive Player of the Year,1982
77626,NBA Defensive Player of the Year,1983
77626,NBA All-Star,1981
77626,NBA All-Star,1982
77626,NBA All-Star,1983
77626,NBA All-Star,1984
77626,NBA All-Star,1985
77691,All-Rookie Team1,1979
77691,NBA All-Star,1984
77950,NBA Champion,1982
76353,All-Rookie Team1,1980
76353,NBA All-Star,1986
940,NBA Champion,1993
940,NBA Champion,1982
76583,NBA All-Star,1987
76890,All-Rookie Team1,1980
76890,NBA Rookie of the Year,1980
76890,NBA Sporting News Rookie of the Year,1980
76944,All-Defensive Team2,1985
77163,NBA Champion,1982
100263,NBA All-Star,1982
100263,NBA All-Star,1983
100263,NBA All-Star,1984
100263,NBA All-Star,1986
100263,NBA Champion,1988
100263,NBA Champion,1989
77373,NBA Champion,1984
328,All-Defensive Team2,1989
328,NBA Champion,1988
77484,NBA Champion,1986
77484,NBA Champion,1987
1450,All-Defensive Team2,1982
1450,All-Defensive Team1,1985
1450,All-Defensive Team1,1986
1450,All-Defensive Team1,1987
1450,All-Defensive Team2,1988
1450,All-Defensive Team2,1989
1450,All-NBA1,1986
1450,All-Rookie Team1,1980
1450,Hall of Fame Inductee,1999
1450,NBA Sixth Man of the Year,1983
1450,NBA Sixth Man of the Year,1984
1450,NBA All-Star,1983
1450,NBA All-Star,1985
1450,NBA All-Star,1986
1450,NBA All-Star,1987
1450,NBA All-Star,1988
1450,NBA All-Star,1989
1450,NBA All-Star,1990
1450,NBA Champion,1980
1450,NBA Champion,1983
1450,NBA Champion,1985
77911,All-Rookie Team1,1980
78146,NBA Champion,1985
78195,All-Rookie Team1,1980
600009,J. Walter Kennedy Citizenship,1985
78351,NBA All-Star,1982
78351,NBA All-Star,1983
78351,NBA Champion,1982
78404,NBA All-Star,1982
78404,NBA All-Star,1983
76016,NBA All-Star,1983
76016,NBA All-Star,1986
76016,NBA All-Star,1987
76016,NBA Champion,1988
76016,NBA Champion,1989
76017,NBA All-Star,1987
76017,NBA Champion,1983
76017,NBA Champion,1985
76176,NBA All-Star,1984
76176,NBA All-Star,1985
76176,NBA All-Star,1986
76176,NBA All-Star,1989
1472,All-NBA2,1988
1472,All-NBA2,1989
1472,NBA All-Star Most Valuable Player,1986
1472,NBA All-Star,1986
1472,NBA All-Star,1988
1472,NBA All-Star,1989
1472,NBA All-Star,1990
76641,NBA Champion,1982
77135,NBA Champion,1981
77530,NBA Champion,1981
77530,NBA Champion,1984
77685,All-Defensive Team1,1988
77685,All-Defensive Team2,1991
77685,All-Defensive Team2,1992
77685,NBA All-Star,1988
77685,NBA All-Star,1992
77685,NBA All-Star,1984
77905,NBA Champion,1981
77905,NBA Champion,1984
77905,NBA Champion,1986
77905,NBA Champion,1987
78041,All-Rookie Team1,1981
78041,NBA All-Star,1983
78233,NBA Champion,1984
78318,All-NBA2,1982
78318,All-NBA1,1983
78318,All-NBA1,1984
78318,All-NBA1,1985
78318,All-NBA2,1986
78318,All-Rookie Team1,1981
78318,Hall of Fame Inductee,2000
78318,J. Walter Kennedy Citizenship,1986
78318,NBA All-Star Most Valuable Player,1983
78318,NBA All-Star Most Valuable Player,1985
78318,NBA Finals Most Valuable Player,1989
78318,NBA Sporting News Rookie of the Year,1981
78318,NBA All-Star,1981
78318,NBA All-Star,1982
78318,NBA All-Star,1983
78318,NBA All-Star,1984
78318,NBA All-Star,1985
78318,NBA All-Star,1986
78318,NBA All-Star,1987
78318,NBA All-Star,1988
78318,NBA All-Star,1989
78318,NBA All-Star,1991
78318,NBA All-Star,1992
78318,NBA All-Star,1990
78318,NBA Champion,1988
78318,NBA Champion,1989
78369,All-Rookie Team1,1981
78369,NBA All-Star,1981
78369,NBA All-Star,1983
78418,All-Rookie Team1,1981
78423,All-Defensive Team2,1984
433,All-Defensive Team2,1987
433,All-Defensive Team1,1989
433,All-Defensive Team1,1990
433,All-Defensive Team2,1991
433,All-NBA2,1982
433,All-Rookie Team1,1981
433,NBA Rookie of the Year,1981
433,NBA All-Star,1981
433,NBA All-Star,1982
433,NBA All-Star,1985
187,All-NBA2,1984
187,All-NBA3,1988
187,All-Rookie Team1,1982
187,NBA Rookie of the Year,1982
187,NBA Sporting News Rookie of the Year,1982
187,NBA All-Star,1984
187,NBA All-Star,1988
76497,All-Rookie Team1,1982
76631,All-Defensive Team1,1984
76631,All-Defensive Team1,1985
76631,All-Defensive Team2,1986
76631,All-Defensive Team2,1987
76631,All-Defensive Team1,1988
76631,NBA Defensive Player of the Year,1984
76631,NBA Defensive Player of the Year,1988
76631,NBA All-Star,1988
76726,NBA All-Star,1986
76968,NBA Champion,1989
77034,NBA Champion,1990
77034,NBA Champion,1991
77092,NBA Champion,1982
77236,All-Rookie Team1,1982
77377,NBA Champion,1990
77377,NBA Champion,1991
77558,NBA Champion,1982
77707,NBA Champion,1984
894,NBA Sixth Man of the Year,1986
894,NBA Sixth Man of the Year,1989
894,NBA All-Star,1990
77879,All-Defensive Team1,1984
77879,All-Defensive Team1,1985
77879,All-Defensive Team2,1986
78314,NBA Champion,1985
78375,NBA Champion,1992
1122,Hall of Fame Inductee,2006
1122,All-NBA1,1985
1122,All-NBA2,1986
1122,All-NBA2,1987
1122,All-NBA3,1988
1122,All-NBA2,1990
1122,All-NBA2,1992
1122,All-NBA3,1993
1122,All-Rookie Team1,1982
1122,NBA All-Star,1985
1122,NBA All-Star,1986
1122,NBA All-Star,1987
1122,NBA All-Star,1988
1122,NBA All-Star,1989
1122,NBA All-Star,1990
1122,NBA All-Star,1992
1122,NBA All-Star,1993
1122,NBA All-Star,1991
1460,All-NBA3,1989
1460,All-NBA3,1990
1460,All-Rookie Team1,1982
1460,Hall of Fame Inductee,2003
1460,NBA Finals Most Valuable Player,1987
1460,NBA All-Star,1985
1460,NBA All-Star,1986
1460,NBA All-Star,1987
1460,NBA All-Star,1988
1460,NBA All-Star,1989
1460,NBA All-Star,1990
1460,NBA All-Star,1991
1460,NBA Champion,1984
1460,NBA Champion,1986
1460,NBA Champion,1987
1847,All-Rookie Team1,1983
1847,J. Walter Kennedy Citizenship,1988
76398,NBA Champion,1983
17,All-NBA2,1987
17,All-NBA3,1989
17,All-NBA2,1990
17,All-NBA1,1991
17,All-NBA3,1994
17,Hall of Fame Inductee,2004
17,Olympic Gold Medal,1992
17,NBA All-Star,1985
17,NBA All-Star,1987
17,NBA All-Star,1988
17,NBA All-Star,1989
17,NBA All-Star,1990
17,NBA All-Star,1991
17,NBA All-Star,1992
17,NBA All-Star,1993
17,NBA All-Star,1995
17,NBA All-Star,1996
17,NBA Champion,1994
107,All-NBA3,1988
107,NBA Most Improved Player,1986
107,NBA All-Star,1988
76942,NBA Champion,1991
157,All-Defensive Team2,1986
157,All-Defensive Team2,1989
1123,NBA Champion,1983
1123,NBA Champion,1985
117,All-Rookie Team1,1983
117,NBA All-Star,1985
117,NBA All-Star,1986
1622,All-Defensive Team2,1986
1622,All-Defensive Team1,1987
1622,NBA Champion,1992
77820,NBA Champion,1990
77820,NBA Champion,1991
77820,NBA Champion,1992
470,J. Walter Kennedy Citizenship,1989
470,NBA All-Star,1987
78055,All-NBA2,1984
78055,All-Rookie Team1,1983
78055,Hall of Fame Inductee,2012
78055,NBA All-Star Most Valuable Player,1984
78055,NBA Rookie of the Year,1983
78055,NBA Sporting News Rookie of the Year,1983
78055,NBA All-Star,1983
78055,NBA All-Star,1984
78055,NBA All-Star,1985
78055,NBA All-Star,1986
2,All-Rookie Team1,1983
2,NBA Champion,1984
2,NBA Champion,1986
2,NBA Champion,1987
78257,All-Rookie Team1,1983
78437,All-Rookie Team1,1983
78437,NBA Champion,1992
787,All-NBA2,1985
787,All-NBA2,1986
787,All-NBA1,1987
787,All-NBA1,1988
787,All-NBA1,1989
787,All-NBA1,1990
787,All-NBA2,1991
787,All-NBA1,1992
787,All-NBA2,1993
787,All-NBA2,1994
787,All-NBA3,1995
787,All-Rookie Team1,1984
787,Hall of Fame Inductee,2006
787,IBM Award,1985
787,IBM Award,1986
787,IBM Award,1987
787,NBA All-Star Most Valuable Player,1990
787,NBA Most Valuable Player,1992
787,NBA Sporting News Most Valuable Player of the Year,1989
787,NBA Sporting News Most Valuable Player of the Year,1992
787,Olympic Gold Medal,1992
787,Olympic Gold Medal,1996
787,NBA All-Star,1986
787,NBA All-Star,1987
