"X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","MPG","MPS","Height","Weight","AWD","Pos"
-14.0628062804598,-5.95674611939055,-62.9195758945498,-19.5569515299469,-10.1064723564583,-9.34585311935496,-21.9111214928111,-3.82877088668587,-2.74335908960215,-10.7149833298011,-10.7309475373573,-4.51505886327306,-2.79400282244019,4.36822399141081,8.92924656840668,-0.0147308053788449,0.00488633423559784,"0","SG"
-13.9567963774528,-6.13539256017377,-66.7594874304865,-22.1351297558849,-9.95346336893807,-8.86710361780375,-21.3541247626194,-4.11977755582188,-3.08388679355291,-9.62892176089168,-9.33461365867776,-4.3921260351917,-2.21992188029921,3.90374849155371,6.4446082114423,0.0310787306524492,-0.00424614932767467,"0","SF"
-15.684808130292,-7.42706603002251,-62.037726968443,-18.6350019313038,-9.82533401353355,-9.14515383739238,-21.9687437483323,-4.58716816963494,-3.24772398503784,-10.037245599398,-10.18391012978,-5.06300465497112,-2.21636392295329,3.55349418267163,8.46262867216443,0.0160408532879086,-0.141717139956278,"0","SG"
-14.6931091448798,-6.53735420398118,-67.271427653105,-22.4754838281397,-10.118265056773,-9.03986184200604,-22.1922988121917,-4.07563638278845,-2.07130669677668,-9.87804899500395,-9.96527788883115,-4.28078100505643,-2.43594981059824,3.66792519891867,7.97273652208322,-0.0147308053788449,0.00488633423559784,"0","SG"
-12.866433280109,-5.25578619238228,-64.3629947578394,-20.2584955147867,-9.49656296843868,-8.68059808636696,-20.9305381247327,-4.37433665880625,-2.62103882973908,-9.6532223724236,-10.5392874123784,-4.49924485121714,-2.70805020676548,2.37840249585777,5.33954941195153,-0.0147308053788449,-0.157632595262177,"0","SG"
-13.3667240742465,-5.83375021707796,-70.4010105213755,-24.289993783066,-10.8067317994594,-9.18892427318268,-20.7501431400882,-3.83094424152694,-2.54890623821445,-10.5144157470412,-9.50250810920385,-4.68818783720608,-2.8251596149571,2.76867794854932,6.44323533747848,0.000773381157120351,-0.0416336813992951,"0","SF"
-15.2150915408575,-7.1719024975915,-65.2057463048482,-20.203850429412,-11.6504052884723,-10.133100879033,-20.6913282985934,-3.66748115878976,-3.17457557178571,-10.7856559094313,-8.46456743092907,-4.44169005619768,-2.03514128805822,3.2820132569857,7.16881876524148,0.0890659883027985,0.0273591900876563,"0","PF"
-15.5186600218342,-7.66052364164885,-62.3000805347655,-19.1658310581561,-10.0450902377086,-9.26118117610211,-21.3198095477946,-4.13587521860953,-2.84441446252588,-10.4334201708114,-8.59754066452714,-4.81163226664417,-2.36382872373182,3.10836108369681,7.84406436344253,-0.0627400245652056,0.0273591900876563,"0","PF"
-13.7799120367717,-5.78169914691176,-66.1416462968653,-22.5936544166061,-9.47257574985995,-8.73679618340797,-21.5590493623869,-4.29632149442383,-1.82981033720401,-9.81492162120787,-10.4575296683559,-4.44118712643709,-2.64310183014789,4.69630898479295,10.4136263568346,-0.0147308053788449,0.0449807914374758,"1","SG"
-13.7322277444544,-5.86228682619608,-66.5854777609872,-22.4787184105618,-9.26787273248685,-8.17552431478885,-21.0265567510319,-3.75962977138522,-3.02678361915972,-10.3950741942956,-9.64575209763735,-4.56278880746186,-2.23832625844251,3.74998441817687,9.10988598686869,0.0160408532879086,0.0184305593433552,"1","SF"
-15.4215776833884,-7.42434606835773,-64.6123853521501,-20.0201840521448,-10.0925542368471,-9.23691783609672,-20.2936431979137,-3.73000503281159,-2.38454903635424,-10.0891517345294,-9.43056711699196,-4.55501637403325,-2.47156041339046,2.75039635123565,6.99644545508564,0.0458938164375899,-0.018103183989101,"0","SF"
-13.4607314349507,-5.671595455618,-65.9595608418519,-21.6157289255768,-9.23934199274735,-7.99032958741929,-20.1524063556433,-3.63124017341304,-3.35248918720215,-9.93653802343685,-8.44448196641347,-4.34909698292816,-1.88741394752245,4.18942546523336,9.94469268018314,0.0604926158587426,0.0918977112252275,"0","PF"
-14.7529570909214,-6.40257972207072,-68.9711127760202,-23.7125163768478,-10.8290194557864,-9.60335126267154,-21.7900037908879,-4.47885274795026,-2.00518676423571,-10.2699022573841,-10.3616188681693,-4.7024048495442,-2.49835745308102,3.51578230426334,8.26491473941479,-0.0304791623469842,-0.141717139956278,"0","PG"
-13.5142249953986,-5.86315306189383,-64.3167597230073,-21.2610647847532,-11.1954027385558,-9.74364289639405,-22.9662369783184,-5.28597117914441,-1.95929723505026,-10.5300494682505,-11.381522726085,-4.19523485254719,-2.63375228301764,3.29242758601577,5.00807902726854,-0.0627400245652056,-0.195784361226553,"0","PG"
-13.8341191829626,-6.00490464279093,-70.7281530892302,-27.8467940541853,-9.72023902945672,-8.41613295593801,-19.0958283495455,-3.40599887039171,-4.37365839099467,-10.9333134365743,-7.6349403270979,-4.89371523085786,-1.75869861198967,2.2025418805732,5.80985685244022,-0.0611020225609671,0.0793189290183675,"0","C"
